Component,Version,CVE,Matching type,CVSS Version,CVSS,CVE publication date,Is Affected,Reason Type,Remarks,Confirmer,Object,Object compilation date,Object full path,Obj_Sha1,,,,
apache,2.4.6,CVE-2017-9788,Exact match,3.0,9.1,2017-07-13T16:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2017-9798,Exact match,3.0,7.5,2017-09-18T15:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2015-3184,Exact match,2.0,5.0,2015-08-12T14:59:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2015-3185,Exact match,2.0,4.3,2015-07-20T23:59:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2013-4352,Exact match,2.0,4.3,2014-07-20T11:12:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2013-6438,Exact match,2.0,5.0,2014-03-18T05:18:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2016-0736,Exact match,3.0,7.5,2017-07-27T21:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2016-2161,Exact match,3.0,7.5,2017-07-27T21:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2016-4975,Exact match,3.0,6.1,2018-08-14T12:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2018-17199,Exact match,3.0,7.5,2019-01-30T22:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
